Data,USDBRL ,IBOVESPA,OURO,SPX
1996-02-13,0.9801,5385.56,403.6,660.51
1996-02-14,0.9808,5330.81,404.4,655.58
1996-02-15,0.9823,5273.71,404.0,651.32
1996-02-16,0.9845,5172.99,404.8,647.98
1996-02-19,0.9845,5172.99,405.85,647.98
1996-02-20,0.984,5172.99,399.4,640.65
1996-02-21,0.9833,5172.99,402.5,648.1
1996-02-22,0.9819,5237.72,399.85,658.86
1996-02-23,0.9815,5274.36,398.5,659.08
1996-02-26,0.9831,5245.24,400.0,650.46
1996-02-27,0.9835,5193.02,399.5,647.24
1996-02-28,0.9833,5199.3,400.8,644.75
1996-02-29,0.9825,4957.75,400.75,640.43
1996-03-01,0.9836,5083.35,398.9,644.37
1996-03-04,0.9836,5152.66,393.95,650.81
1996-03-05,0.9833,5197.99,393.25,655.79
1996-03-06,0.9833,4975.3,393.35,652.0
